,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Team
3,4,J.P. Crawford*,29,SS,2.7,105,451,392,55,79,16,2,9,37,5,0,52,102,.202,.304,.321,.625,86,.286,89,126,4,6,0,1,0,6/HD,,SEA
4,5,Josh Rojas*,30,3B,2.2,142,476,422,48,95,19,2,8,31,10,4,46,108,.225,.304,.336,.641,91,.289,92,142,6,3,1,2,1,*5H4/713D,,SEA
5,6,Randy Arozarena,29,LF,1.0,54,239,199,32,46,14,0,5,23,4,3,28,68,.231,.356,.377,.733,118,.334,127,75,4,11,0,1,0,7/8D,,SEA
6,7,Julio RodrÃ­guez,23,CF,4.3,143,613,567,76,155,17,0,20,68,24,5,38,156,.273,.325,.409,.734,116,.334,121,232,10,6,0,2,1,*8D/H,,SEA
7,8,Mitch Haniger,33,RF,-0.2,121,423,380,42,79,12,0,12,44,0,0,40,126,.208,.286,.334,.620,84,.281,87,127,10,2,0,1,0,9DH,,SEA
8,9,Mitch Garver,33,DH,-0.1,114,430,367,37,63,17,0,15,51,0,0,53,133,.172,.286,.341,.627,85,.282,88,125,9,7,0,3,0,D2/H,,SEA
9,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,SEA
10,10,Luke Raley*,29,UT,3.2,137,455,404,58,98,19,2,22,58,11,2,27,135,.243,.320,.463,.783,129,.346,131,187,2,20,2,2,0,739H/8D,,SEA
11,11,Dylan Moore,31,UT,2.2,135,441,368,53,74,23,4,10,42,32,6,53,123,.201,.320,.367,.687,104,.322,109,135,8,14,1,5,1,6547H3/8,GG,SEA
12,12,VÃ­ctor Robles,27,OF,3.1,77,262,229,41,75,20,0,4,26,30,1,16,44,.328,.393,.467,.860,155,.400,155,107,2,10,5,2,0,897/HD,,SEA
13,13,Justin Turner,39,1B,1.2,48,190,159,22,42,7,0,5,24,0,0,20,35,.264,.363,.403,.766,128,.341,130,64,1,7,0,4,2,3D/H5,,SEA
14,14,Dominic Canzone*,26,RF,0.2,67,188,168,20,33,7,0,8,17,1,0,18,53,.196,.271,.381,.652,91,.290,92,64,5,0,0,2,2,97H/D,,SEA
15,15,Luis UrÃ­as,27,3B,0.4,41,109,94,11,18,7,0,4,16,0,0,9,34,.191,.303,.394,.696,105,.307,106,37,2,6,0,0,0,5/HD,,SEA
16,16,Leo Rivas#,26,SS,0.3,43,86,73,10,17,1,1,0,8,3,0,10,24,.233,.333,.274,.607,84,.290,87,20,1,1,2,0,0,6H4/D15,,SEA
17,17,Ryan Bliss,24,2B,0.4,33,71,63,10,14,3,1,2,9,5,3,5,22,.222,.290,.397,.687,102,.292,98,25,1,1,2,0,0,4H/D,,SEA
18,18,Tyler Locklear,23,1B,-0.3,16,49,45,3,7,1,0,2,3,1,0,3,20,.156,.224,.311,.536,57,.241,55,14,3,1,0,0,0,3/H,,SEA
19,19,Seby Zavala,30,C,-0.3,18,43,39,4,6,2,0,1,2,0,0,3,16,.154,.214,.282,.496,46,.221,43,11,2,0,1,0,0,2,,SEA
20,20,Jonatan Clase#,22,LF,-0.2,19,43,41,4,8,1,0,0,3,3,0,2,14,.195,.233,.220,.452,36,.221,32,9,1,0,0,0,0,7/H8D,,SEA
21,21,Jason Vosler*,30,UT,-0.1,10,30,28,2,5,1,1,0,3,0,0,2,9,.179,.233,.286,.519,53,.229,50,8,0,0,0,0,0,/3DH79,,SEA
22,22,Sam Haggerty#,30,OF,-0.3,8,16,15,1,1,0,0,0,1,1,0,1,4,.067,.125,.067,.192,-41,.114,-43,1,0,0,0,0,0,/7H9D,,SEA
23,23,Cade Marlowe*,27,OF,0.0,8,9,8,1,2,0,0,0,0,0,0,1,1,.250,.333,.250,.583,77,.275,82,2,1,0,0,0,0,/98HD,,SEA
24,24,Samad Taylor,25,OF,0.1,3,5,5,2,2,0,0,0,0,0,0,0,1,.400,.400,.400,.800,139,.338,128,2,0,0,0,0,0,/78H,,SEA
25,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,SEA
26,25,Luis Castillo,31,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-118,0,0,0,0,0,0,1,,SEA
27,26,Ryne Stanek,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,SEA
28,27,Trent Thornton,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,SEA
29,28,Austin Voth,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,SEA
30,29,Mike Baumann,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,SEA
31,,Team Totals,,,25.6,162,6067,5330,676,1195,228,13,185,642,140,28,571,1625,.224,.311,.376,.687,103,.310,106,2004,106,116,14,34,14,,,SEA
0,1,Jonah Heim#,29,C,1.1,131,491,459,45,101,12,1,13,59,1,1,26,90,.220,.267,.336,.602,72,.268,71,154,13,4,0,2,0,*2DH,,TEX
1,2,Nathaniel Lowe*,28,1B,2.7,140,565,486,62,129,16,1,16,69,2,0,71,125,.265,.361,.401,.762,120,.342,122,195,9,4,0,4,1,*3/HD,,TEX
2,3,Marcus Semien,33,2B,4.1,159,718,650,101,154,27,2,23,74,8,3,64,105,.237,.308,.391,.699,100,.310,100,254,9,3,0,1,2,*4,AS,TEX
3,4,Corey Seager*,30,SS,5.0,123,533,475,68,132,21,0,30,74,1,1,53,96,.278,.353,.512,.864,145,.363,139,243,8,3,0,2,11,*6D/H,"AS,MVP-15",TEX
4,5,Josh Smith*,26,3B,3.2,149,592,523,67,135,30,1,13,62,11,2,46,121,.258,.337,.394,.731,110,.329,112,206,6,18,2,3,1,56DH/749,SS,TEX
5,6,Wyatt Langford,22,LF,3.9,134,557,499,74,126,25,4,16,74,19,3,51,115,.253,.325,.415,.740,111,.329,110,207,6,4,0,3,3,*7D8,ROY-7,TEX
6,7,Leody Taveras#,25,CF,0.5,151,529,480,59,110,17,3,12,44,23,6,42,112,.229,.289,.352,.641,84,.293,84,169,8,0,3,4,0,*8/HD,,TEX
7,8,Adolis GarcÃ­a,31,RF,0.3,154,637,580,68,130,27,0,25,85,11,5,45,177,.224,.284,.400,.684,94,.302,94,232,12,6,0,6,2,*9D/H,,TEX
8,9,Robbie Grossman#,34,DH,0.2,46,122,105,13,25,4,0,3,10,1,0,16,25,.238,.336,.362,.698,101,.318,104,38,5,0,0,1,0,DH7/9,,TEX
